UniGCNII_0.001_0.0_1,79.527 ¡À 1.608,78.331 ¡À 1.190,100423, 3.98s, 0.75s,0.0min3.98s
AllSetTransformer_0.001_0.0_1,59.520 ¡À 1.809,58.604 ¡À 1.881,248327, 14.09s, 0.55s,0.0min14.09s
AllSetTransformer_0.001_0.0_1,75.709 ¡À 1.398,73.737 ¡À 2.117,248327, 43.09s, 26.47s,0.0min43.09s
AllSetTransformer_0.001_0.0_1,73.840 ¡À 3.783,71.824 ¡À 3.744,248327, 41.19s, 18.43s,0.0min41.19s
UniGCNII_0.001_0.0_1,81.056 ¡À 1.396,78.722 ¡À 1.513,100423, 2.35s, 0.22s,0.0min2.35s
